Rank,Word,Part of speech,Frequency,Dispersion,Copies require reference to source: http://www.wordfrequency.info (note there are swears)
1,the,adjunct,22038615,0.98,
2,be,verb,12545825,0.97,
3,and,conjunctive adverb,10741073,0.99,
4,of,preposition,10343885,0.97,
5,a,adjunct,10144200,0.98,
6,in,preposition,6996437,0.98,
7,to,preposition,6332195,0.98,
8,have,verb,4303955,0.97,
9,to,preposition,3856916,0.99,
10,it,pronoun,3872477,0.96,
11,I,pronoun,3978265,0.93,
12,that,conjunctive adverb,3430996,0.97,
13,for,preposition,3281454,0.98,
14,you,pronoun,3081151,0.92,
15,he,pronoun,2909254,0.94,
16,with,preposition,2683014,0.99,
17,on,preposition,2485306,0.99,
18,do,verb,2573587,0.95,
19,say,verb,1915138,0.95,
20,this,determiner,1885366,0.96,
21,they,pronoun,1865580,0.96,
22,at,preposition,1767638,0.98,
23,but,conjunctive adverb,1776767,0.97,
24,we,pronoun,1820935,0.94,
25,his,adjunct,1801708,0.95,
26,from,preposition,1635914,0.99,
27,that,determiner,1712406,0.94,
28,not,adjunct,1638830,0.98,
29,by,preposition,1490548,0.96,
30,she,pronoun,1484869,0.91,
31,or,conjunctive adverb,1379320,0.97,
32,as,conjunctive adverb,1296879,0.98,
33,what,determiner,1181023,0.94,
34,go,verb,1151045,0.93,
35,their,adjunct,1083029,0.97,
36,can,verb,1022775,0.98,
37,who,pronoun,1018283,0.97,
38,get,verb,992596,0.94,
39,if,conjunctive adverb,933542,0.97,
40,would,verb,925515,0.97,
41,her,adjunct,969591,0.91,
42,all,determiner,892102,0.98,
43,my,adjunct,919821,0.93,
44,make,verb,857168,0.98,
45,about,preposition,874406,0.96,
46,know,verb,892535,0.93,
47,will,verb,824568,0.97,
48,as,preposition,829018,0.95,
49,up,adverb,795534,0.95,
50,one,numeral,768232,0.98,
51,time,noun,764657,0.98,
52,there,adverb,784528,0.96,
53,year,noun,769254,0.96,
54,so,adverb,756550,0.95,
55,think,verb,772787,0.91,
56,when,conjunctive adverb,678626,0.98,
57,which,determiner,685982,0.96,
58,them,pronoun,677870,0.97,
59,some,determiner,674193,0.98,
60,me,pronoun,709623,0.92,
61,people,noun,691468,0.95,
62,take,verb,670745,0.97,
63,out,adverb,678603,0.96,
64,into,preposition,668172,0.97,
65,just,adverb,677711,0.94,
66,see,verb,663645,0.96,
67,him,pronoun,677707,0.92,
68,your,adjunct,659622,0.94,
69,come,verb,628254,0.95,
70,could,verb,617932,0.96,
71,now,adverb,605997,0.94,
72,than,conjunctive adverb,579757,0.97,
73,like,preposition,568850,0.96,
74,other,adjective,547799,0.97,
75,how,adverb,538893,0.97,
76,then,adverb,543977,0.95,
77,its,adjunct,539719,0.96,
78,our,adjunct,525107,0.97,
79,two,numeral,511027,0.99,
80,more,adverb,517536,0.97,
81,these,determiner,513864,0.95,
82,want,verb,514972,0.95,
83,way,noun,470401,0.98,
84,look,verb,491707,0.93,
85,first,numeral,463566,0.98,
86,also,adverb,464606,0.96,
87,new,adjective,435993,0.97,
88,because,conjunctive adverb,438539,0.96,
89,day,noun,432773,0.97,
90,more,determiner,420170,0.97,
91,use,verb,420781,0.96,
92,no,adjunct,402222,0.98,
93,man,noun,409760,0.95,
94,find,verb,395203,0.98,
95,here,adverb,412315,0.93,
96,thing,noun,400724,0.94,
97,give,verb,384503,0.98,
98,many,determiner,385348,0.97,
99,well,adverb,411776,0.91,
100,only,adverb,379574,0.98,
101,those,determiner,378007,0.97,
102,tell,verb,388155,0.94,
103,one,pronoun,369553,0.98,
104,very,adverb,391821,0.92,
105,her,pronoun,397950,0.89,
106,even,adverb,361067,0.98,
107,back,adverb,367844,0.94,
108,any,determiner,348100,0.98,
109,good,adjective,353973,0.96,
110,woman,noun,341422,0.98,
111,through,preposition,340921,0.98,
112,us,pronoun,351088,0.95,
113,life,noun,333085,0.98,
114,child,noun,333849,0.97,
115,there,adverb,333433,0.93,
116,work,verb,318210,0.98,
117,down,adverb,329409,0.94,
118,may,verb,324569,0.95,
119,after,preposition,311902,0.98,
120,should,verb,310265,0.98,
121,call,verb,308050,0.97,
122,world,noun,303506,0.97,
123,over,preposition,300349,0.98,
124,school,noun,304183,0.95,
125,still,adverb,296953,0.97,
126,try,verb,294023,0.96,
127,in,adverb,285035,0.98,
128,as,adverb,281483,0.98,
129,last,numeral,289843,0.95,
130,ask,verb,284632,0.96,
131,need,verb,276744,0.98,
132,too,adverb,280396,0.96,
133,feel,verb,275214,0.95,
134,three,numeral,266744,0.98,
135,when,adverb,268219,0.97,
136,state,noun,272193,0.94,
137,never,adverb,262584,0.96,
138,become,verb,259102,0.97,
139,between,preposition,264158,0.94,
140,high,adjective,255936,0.96,
141,really,adverb,263414,0.91,
142,something,pronoun,254910,0.94,
143,most,adverb,246360,0.96,
144,another,determiner,240646,0.98,
145,much,determiner,244507,0.97,
146,family,noun,243267,0.97,
147,own,determiner,240452,0.98,
148,out,preposition,242443,0.96,
149,leave,verb,240482,0.96,
150,put,verb,237480,0.96,
151,old,adjective,236577,0.96,
152,while,conjunctive adverb,234555,0.97,
153,mean,verb,242198,0.93,
154,on,adverb,236980,0.95,
155,keep,verb,231760,0.96,
156,student,noun,255047,0.88,
157,why,adverb,235442,0.95,
158,let,verb,240300,0.93,
159,great,adjective,225005,0.97,
160,same,determiner,222836,0.98,
161,big,adjective,227169,0.96,
162,group,noun,229435,0.93,
163,begin,verb,218617,0.98,
164,seem,verb,219627,0.97,
165,country,noun,223138,0.95,
166,help,verb,216082,0.98,
167,talk,verb,229429,0.92,
168,where,conjunctive adverb,213744,0.98,
169,turn,verb,221392,0.94,
170,problem,noun,217728,0.96,
171,every,adjunct,212739,0.97,
172,start,verb,213952,0.96,
173,hand,noun,225247,0.91,
174,might,verb,209059,0.98,
